Data info
File name: D:\Documents\Uni\Tesi\ConditionPanda\Scripts\AutomationData\LattePanda20210314144404.dxd
Start time: 3/14/2021 14:44:06.108
Number of channels: 1
Sample rate: 20000
Store type: fast on trigger
Post time: 10000


Data1

Time (s),AI 1 -  (m/s2)
5.24765,-0.002466864
5.2477,0.0039381906
5.24775,0.010908312
5.2478,0.015130543
5.24785,0.013871332
5.2479,0.01508178
5.24795,0.019616662
5.248,0.021265972
5.24805,0.018242717
5.2481,0.020643536
5.24815,0.027372718
5.2482,0.028746661
5.24825,0.035590574
5.2483,0.035226297
5.24835,0.037905347
5.2484,0.038444597
5.24845,0.035045587
5.2485,0.029850982
5.24855,0.022496499
5.2486,0.014499502
5.24865,0.0091614788
5.2487,0.0087426985
5.24875,0.0078362953
5.2488,0.0062328815
5.24885,0.0063361423
5.2489,0.011510669
5.24895,0.018512344
5.249,0.016673723
5.24905,0.0089463517
5.2491,0.0028539493
5.24915,-0.006298997
5.2492,-0.012944994
5.24925,-0.012755683
5.2493,-0.011920989
5.24935,-0.010417966
5.2494,-0.010116789
5.24945,-0.0070361663
5.2495,-0.0016551171
5.24955,0.0016549736
5.2496,-0.0028827765
5.24965,-0.0094341179
5.2497,-0.013934579
5.24975,-0.024002533
5.2498,-0.028623465
5.24985,-0.033063691
5.2499,-0.039517511
5.24995,-0.038576685
5.25,-0.040349334
5.25005,-0.041387681
5.2501,-0.033430841
5.25015,-0.026406223
5.2502,-0.020798571
5.25025,-0.015245421
5.2503,-0.0090296781
5.25035,-0.0066116485
5.2504,-0.00092368468
5.25045,3.1480213E-5
5.2505,-0.0010441559
5.25055,-0.00289425
5.2506,-0.0085391887
5.25065,-0.0031294557
5.2507,0.0046524126
5.25075,0.010053541
5.2508,0.021564281
5.25085,0.026885094
5.2509,0.025367731
5.25095,0.025938535
5.251,0.017844016
5.25105,0.0031293123
5.2511,0.00078585971
5.25115,-0.0038494149
5.2512,-0.0074233948
5.25125,-0.0058027701
5.2513,0.00016916163
5.25135,0.0062730382
5.2514,0.017390812
5.25145,0.020735323
5.2515,0.020026838
5.25155,0.017428102
5.2516,0.0079997927
5.25165,0.0018930478
5.2517,-0.0036916551
5.25175,-0.010547043
5.2518,-0.013315013
5.25185,-0.015939565
5.2519,-0.013885817
5.25195,-0.0055847745
5.252,0.0018356806
5.25205,0.014034828
5.2521,0.020672219
5.25215,0.024515826
